Index:,Date:,Time:,Type:,Type Code:,Owner/operator:,Registration:,MSN:,Year of manufacture:,Engine model:,Total airframe hrs:,Cycles:,Fatalities:,Other fatalities:,Aircraft damage:,Category:,Location:,Phase:,Nature:,Departure airport:,Destination airport:,Investigating agency:,Confidence Rating:
308428,Friday 13 January 2023,19:04 UTC,"    
Cessna 550 Citation II",C550,Air Master AP,YV2166,550-0467, , , , ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,Charallave-Óscar Machado Zuloaga Airport (SVCS) -   Venezuela,Landing,Private,Caracas-Simón Bolívar International Airport (CCS/SVMI),Charallave-Óscar Machado Zuloaga Airport (SVCS),JIAAC Venezuela,Information verified through data from accident investigation authorities
318707,Sunday 15 January 2023,10:57,"    
ATR 72-500 (72-212A)",AT76,Yeti Airlines,9N-ANC,754,2007,Pratt & Whitney Canada PW127, , ,Fatalities: 72 / Occupants: 72,0,Destroyed,Accident,2 km WNW of Pokhara International Airport (VNPR) -   Nepal,Approach,Passenger - Scheduled,Kathmandu-Tribhuvan Airport (KTM/VNKT),Pokhara International Airport (VNPR),Nepal AAIC,Accident investigation report completed and information captured
307289,Monday 16 January 2023,13:36 LT,"    
Learjet 35A",LJ35,GFD,D-CGFC,35-331, , , , ,Fatalities: 0 / Occupants:,0,Minor,Accident,E of Hohn Air Base (ETNH) -   Germany,Initial climb,Military,Hohn Air Base (ETNH),Hohn Air Base (ETNH),BFU,Information verified through data from accident investigation authorities
318706,Monday 16 January 2023,05:05,"    
Cessna 208B Super Cargomaster",C208,Kamaka Air,N236KA,208B2034,2008,Pratt & Whitney Canada PT6A-114A,11160 hours, ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,"3,6 km WSW of Molokai/Kaunakakai Airport, HI (MKK) -   United States of America",Approach,Cargo,"Honolulu-Daniel K. Inouye International Airport, HI (HNL/PHNL)","Molokai/Kaunakakai Airport, HI (MKK/PHMK)",NTSB,Accident investigation report completed and information captured
318705,Wednesday 18 January 2023,09:18,"    
Beechcraft B200 King Air",BE20,Lynch Flying Service Inc,N200EJ,BB-1884,2004,Pratt & Whitney Canada PT6A-42,4538 hours, ,Fatalities: 0 / Occupants:,0,Substantial,Accident,"Poplar Municipal Airport, MT (PO1) -   United States of America",Approach,Executive,"Billings-Logan International Airport, MT (BIL/KBIL)", ,NTSB,Accident investigation report completed and information captured
309555,Saturday 21 January 2023,13:00 LT,"    
Boeing 737-8AS (WL)",B738,Ryanair,9H-QDU,44770/6276,2017, , , ,Fatalities: 0 / Occupants:,0,None,Accident,Niederrhein/Weeze Airport (NRN/EDLV) -   Germany,Standing,Passenger - Scheduled,Thessaloniki International Airport (SKG/LGTS),Weeze Airport (NRN/EDLV),BFU,Information verified through data from accident investigation authorities
349611,Sunday 22 January 2023,c 01:10 UTC,"    
Airbus A350-1041",A35K,British Airways,G-XWBL,547,2022,Rolls-Royce Trent XWB-97, , ,Fatalities: 0 / Occupants: 338,0,None,Accident,over Canary Islands -   Atlantic Ocean,En route,Passenger - Scheduled,London-Heathrow Airport (LHR/EGLL),"São Paulo-Guarulhos International Airport, SP (GRU/SBGR)",AAIB,Accident investigation report completed and information captured
351179,Monday 23 January 2023, ,"    
de Havilland Canada DHC-6 Twin Otter 300",DHC6,British Antarctic Survey,VP-FBC,787,1982, , , ,Fatalities: 0 / Occupants:,0,Unknown,Accident,Mount Lymburner -   Antarctica,Take off,Unknown,Mount Lymburner, ,AAIB,Information verified through data from accident investigation authorities
307250,Tuesday 24 January 2023,c. 10:32,"    
Cessna 551 Citation II/SP",C551,BoneDoc Aviation LLC,N1252D,551-0476, , , , ,Fatalities: 0 / Occupants: 7,0,Substantial,Accident,"Joplin Regional Airport (JLN/KJLN), Joplin, MO -   United States of America",Taxi,Private,"Joplin Airport, MO (JLN/KJLN)", ,NTSB,Information verified through data from accident investigation authorities
306194,Wednesday 25 January 2023,07:45 LT,"    
Boeing 767-381ER (BCF)",B763,All Nippon Airways - ANA,JA603A,32972/877,2002, , , ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,Tokyo/Narita International Airport (NRT/RJAA) -   Japan,Taxi,Cargo,"Hong Kong International Airport/Chek Lap Kok (HKG/VHHH), Hong Kong","Tokyo/Narita International Airport (NRT/RJAA), Japan",JTSB,"Information is only available from news, social media or unofficial sources"
318702,Friday 27 January 2023,17:10,"    
Cessna 560 Citation Encore",C560,Chartright Air,C-FYMM,560-0705,2006,Pratt & Whitney Canada PW535A,13500 hours, ,Fatalities: 0 / Occupants: 5,0,Substantial,Accident,"40 nm S of Toronto, ON -   Canada",En route,Passenger - Non-Scheduled/charter/Air Taxi,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)","Fort Lauderdale-Executive Airport, FL (FXE/KFXE)",TSB,Accident investigation report completed and information captured
318703,Friday 27 January 2023, ,"    
Ilyushin Il-18D",IL18, ,TL-KBR,186009403,1966, , , ,Fatalities: / Occupants:,0,"Destroyed, written off",OT,Al-Khadim Air Base -   Libya,Standing,Military, , , , 
318704,Friday 27 January 2023,07:30,"    
Let L-410UVP-E20",L410,Fly Air Africa Aviation,EY-473,982631,1998,Walter M-601E, , ,Fatalities: 0 / Occupants: 5,0,"Destroyed, written off",Accident,NW of Juba Airport (JUB) -   South Sudan,Initial climb,Cargo,Juba Airport (JUB/HJJJ),Lankien Airstrip, ,Information verified through data from accident investigation authorities
318701,Thursday 2 February 2023, ,"    
Cessna 208B Grand Caravan",C208,Unknown,5Y-BMZ,208B0367,1994,Pratt & Whitney Canada PT6A-114A, , ,Fatalities: 1 / Occupants:,0,"Destroyed, written off",Accident,Nasir Airport -   South Sudan,Take off,Passenger - Non-Scheduled/charter/Air Taxi,Nasir Airport (HSNA), , ,Little or no information is available
349803,Sunday 5 February 2023,08:56,"    
Learjet 60",LJ60,Hera Flight,N357WP,60-300,2006,Pratt & Whitney Canada PW305A,4941 hours, ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,North Eleuthera International Airport (ELH/MYEH) -   Bahamas,Landing,Ferry/positioning,"Vero Beach Regional Airport, FL (VRB/KVRB)",North Eleuthera International Airport (ELH/MYEH),AAIA Bahamas,Accident investigation report completed and information captured
318700,Monday 6 February 2023,c. 16,"    
Boeing 737-3H4 (WL)",B733,Coulson Aviation,N619SW,28035/2762,1995,CFMI CFM56-3B1, , ,Fatalities: 0 / Occupants: 2,0,"Destroyed, written off",Accident,"Fitzgerald River National Park, WA -   Australia","Manoeuvring (airshow, firefighting, ag.ops.)",Fire fighting,"Bussellton Airport, WA (BQB/YBLN)","Bussellton Airport, WA (BQB/YBLN)",ATSB,Information verified through data from accident investigation authorities
308052,Wednesday 8 February 2023,09:00,"    
Cessna 208B Grand Caravan",C208,Transition Aviation,5Y-EMM, , , , , ,Fatalities: 0 / Occupants: 4,1,Minor,Accident,Ulang airstrip -   South Sudan,Landing,Passenger,Mayout airstrip,Ulang airstrip, ,"Information is only available from news, social media or unofficial sources"
318699,Wednesday 8 February 2023,10:00,"    
Cirrus SF50 Vision Jet G2",SF50,"Mag Aviation, LLC",N426SJ,0148,2019,Williams International FJ33-5A,680 hours, ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,"Waukesha Airport, WI (UES) -   United States of America",Landing,Private,"Waukesha Airport, WI (UES/KUES)","Waukesha Airport, WI (UES/KUES)",NTSB,Accident investigation report completed and information captured
308139,Friday 10 February 2023,c. 11:08 UTC,"    
Boeing 767-332ER (WL)",B763,Delta Air Lines,N197DN,28454/683,1997,Pratt & Whitney PW4060, , ,Fatalities: 0 / Occupants: 221,0,Substantial,Accident,near Edinburgh Airport (EDI/EGPH) -   United Kingdom,Initial climb,Passenger - Scheduled,Edinburgh-Turnhouse Airport (EDI/EGPH),"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",AAIB,Information verified through data from accident investigation authorities
318697,Friday 10 February 2023,c. 13,"    
Cessna 208B Super Cargomaster",C208,SkyDive Mexico,N9634B,208B0141,1987, , , ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,San José Vista Hermosa -   Mexico,Unknown,Parachuting,Tequesquitengo Airport (MMTQ),Tequesquitengo Airport (MMTQ), ,"Information is only available from news, social media or unofficial sources"
318698,Friday 10 February 2023,13:45,"    
Cessna 208B Supervan 900",C208,Helifix Operation,P2-HFA,208B0954,2002,Honeywell TPE331,11645 hours,17724 flights,Fatalities: 0 / Occupants: 4,0,Substantial,Accident,Eliptamin Airport (EPT) -   Papua New Guinea,Landing,Passenger - Non-Scheduled/charter/Air Taxi,Kiunga Airport (UNG/AYKI),Eliptamin Airport (EPT/AYEL),PNG AIC,Accident investigation report completed and information captured
385223,Friday 10 February 2023,22:51 LT,"    
Boeing 737-823 (WL)",B738,American Airlines,N944AN,29535/645,2000,CFM International CFM56,64466 hours, ,Fatalities: 0 / Occupants: 74,0,None,Accident,"Rushville, IN -   United States of America",En route,Passenger - Scheduled,"Orlando International Airport, FL (MCO/KMCO)","Chicago-O'Hare International Airport, IL (ORD/KORD)",NTSB,Accident investigation report completed and information captured
318696,Saturday 11 February 2023,12:50,"    
Learjet 55",LJ55,1982-047 LLC,N600C,55-047,1982, ,10504 hours, ,Fatalities: 0 / Occupants: 6,0,Substantial,Accident,"Rochester-Greater Rochester International Airport, NY (ROC/KROC) -   United States of America",Landing,Private,"Palm Beach AFB, FL (PBI/KPBI)","Rochester-Frederick Douglass Greater Rochester International Airport, NY (ROC/KR",NTSB,Information verified through data from accident investigation authorities
318695,Monday 13 February 2023,11:15,"    
Britten-Norman BN-2B-20 Islander",BN2P,Windward Express Airways,PJ-WEB,2208,1989, , , ,Fatalities: 0 / Occupants: 3,0,Substantial,Accident,Saba-Juancho E. Yrausquin Airport (SAB) -   Caribbean Netherlands,Landing,Passenger,Sint Maarten-Juliana Airport (SXM/TNCM),Saba-Juancho E. Yrausquin Airport (SAB/TNCS),Dutch Safety Board,Accident investigation report completed and information captured
308486,Thursday 16 February 2023,07:30 LT,"    
Airbus A319-132",A319,Spirit Airlines Inc,N505NK,2485,2005,IAE V2524-A5, , ,Fatalities: 0 / Occupants: 157,0,None,Accident,"N of New Orleans, LA -   United States of America",En route,Passenger - Scheduled,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)","New Orleans-Louis Armstrong International Airport, LA (MSY/KMSY)",NTSB,Accident investigation report completed and information captured
318694,Thursday 16 February 2023,ca 01,"    
Cessna 208 Cargomaster",C208,Aeromás,CX-MAX,20800042,1985, , , ,Fatalities: 0 / Occupants: 2,0,"Destroyed, written off",Accident,"near Berisso, BA -   Argentina",En route,Cargo,Montevideo-Carrasco Airport (MVD/SUMU),"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",JST,Information verified through data from accident investigation authorities
318693,Friday 17 February 2023,11:16,"    
Honda HA-420 HondaJet",HDJT,Haedo Air LLC,N14QB,42000107,2018,GE Honda HF-120-H1A,644 hours, ,Fatalities: 0 / Occupants: 6,0,Substantial,Accident,"Houston-William P. Hobby Airport, TX (HOU) -   United States of America",Landing,Private,"Miami Executive Airport, FL (TMB/KTMB)","Houston-William P. Hobby Airport, TX (HOU/KHOU)",NTSB,Accident investigation report completed and information captured
308785,Monday 20 February 2023,06:00 UTC,"    
Fokker 70",F70,Air Niugini,P2-ANT,11577, , , , ,Fatalities: 0 / Occupants: 71,0,None,Accident,near Port Moresby -   Papua New Guinea,En route,Passenger - Scheduled,Port Moresby-Jacksons International Airport (POM/AYPY),Mount Hagen-Kagamuga Airport (HGU/AYMH),PNG AIC,Information verified through data from accident investigation authorities
318692,Wednesday 22 February 2023,11:57,"    
Beechcraft B200 Super King Air",BE20,CTEH,N55PC,BB-1170,1983,Pratt & Whitney Canada PT6A-60A,10784 hours, ,Fatalities: 5 / Occupants: 5,0,"Destroyed, written off",Accident,"1,5 km S of Little Rock-Bill and Hillary Clinton National Airport, AR (LIT) -   United States of America",Initial climb,Executive,"Little Rock-Bill and Hillary Clinton National Airport, AR (LIT/KLIT)","Columbus-John Glenn International Airport, OH (CMH/KCMH)",NTSB,"Information is only available from news, social media or unofficial sources"
309041,Friday 24 February 2023,c. 04:45 UTC,"    
Embraer ERJ-190AR",E190,JetBlue Airways,N337JB,19000473, , , , ,Fatalities: 0 / Occupants:,0,None,Accident,"New York-John F. Kennedy International Airport, NY (JFK/KJFK) -   United States of America",Unknown,Passenger - Scheduled,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)","Burlington International Airport, VT (BTV/KBTV)", ,Information verified through data from accident investigation authorities
318691,Tuesday 28 February 2023, ,"    
Cessna 208B Grand Caravan",C208,ZAM Air Service,C-GMVB,208B0317,1992,Pratt & Whitney Canada PT6A-114A, , ,Fatalities: 2 / Occupants: 2,0,"Destroyed, written off",Accident,"57 km NNW of Nakina, ON -   Canada",En route,Cargo,"Nakina Airport, ON (YQN/CYQN)","Fort Hope Airport, ON (YFH/CYFH)",TSB,"Information is only available from news, social media or unofficial sources"
308854,Thursday 2 March 2023,c. 00:45 UTC,"    
Airbus A330-941",A339,Condor,D-ANRA,1966,2022,Rolls-Royce Trent 7000-72, , ,Fatalities: 0 / Occupants: 270,0,Minor,Accident,near Seychelles -   Indian Ocean,En route,Passenger - Scheduled,Frankfurt International Airport (FRA/EDDF),Mauritius-Sir Seewoosagur Ramgoolam International Airport (MRU/FIMP),BFU,Information verified through data from accident investigation authorities
308887,Thursday 2 March 2023,15:40,"    
de Havilland Canada DHC-8-402Q Dash 8",DH8D,WestJet Encore,C-GVEN,4532,2016, , , ,Fatalities: 0 / Occupants: 78,0,Minor,Accident,near Kelowna International Airport (YLW/CYLW) -   Canada,En route,Passenger - Scheduled,"Kamloops Airport, BC (YKA/CYKA)","Calgary International Airport, AB (YYC/CYYC)",TSB,Information verified through data from accident investigation authorities
308921,Thursday 2 March 2023,22:31 UTC,"    
Airbus A320-251N",A20N,Frontier Airlines,N366FR,9465,2020,CFMI CFM LEAP-1A26E1, , ,Fatalities: 0 / Occupants:,0,None,Accident,"NE of Dallas, TX -   United States of America",En route,Passenger - Scheduled,"Chicago-Midway Airport, IL (MDW/KMDW)","Dallas/Fort Worth International Airport, TX (DFW/KDFW)",NTSB,Information verified through data from accident investigation authorities
308883,Friday 3 March 2023,16:00,"    
Bombardier BD-100-1A10 Challenger 300",CL30,Conexon LLC opf AirShare,N300ER,20428,2013, , , ,Fatalities: 1 / Occupants: 5,0,None,Accident,"Windsor Locks, CT -   United States of America",En route,Private,"Keene-Dillant-Hopkins Airport, NH (EEN/KEEN)","Leesburg Executive Airport, VA (JYO/KJYO)",NTSB,Information verified through data from accident investigation authorities
308996,Sunday 5 March 2023,18:09,"    
Honda HA-420 HondaJet Elite",HDJT,Nesama LLC dba Volato,N118CX,42000231,2022,General Electric HF-120,486 hours, ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,"Buena Vista-Central Colorado Regional Airport (AEJ/KAEJ), CO -   United States of America",Landing,Private,"Monterey Regional Airport, CA (MRY/KMRY)","Buena Vista-Central Colorado Regional Airport, CO (KAEJ)",NTSB,Accident investigation report completed and information captured
351152,Wednesday 8 March 2023, ,"    
Boeing C-32A (757-2G4)",B752,US Air Force (USAF),98-0001,29025/783, , , , ,Fatalities: 0 / Occupants:,0,Substantial,Accident,Amman-Queen Alia International Airport (AMM/OJAI) -   Jordan,Landing,Military, ,Amman-Queen Alia International Airport (AMM/OJAI), ,"Information is only available from news, social media or unofficial sources"
309736,Tuesday 21 March 2023,15:23 LT,"    
Boeing 777-224ER",B772,United Airlines,N79011,29859/227,1999,GE GE90-90B,101792 hours, ,Fatalities: 0 / Occupants: 192,0,None,Accident,"near San Francisco International Airport, CA (SFO/KSFO) -   United States of America",En route,Passenger - Scheduled,"San Francisco International Airport, CA (SFO/KSFO)",München-Franz Josef Strauss Airport (MUC/EDDM),NTSB,Accident investigation report completed and information captured
311365,Wednesday 22 March 2023,17:26 LT,"    
Airbus A320-232",A320,United Airlines,N1902U,2714,2006,IAE V2527-A5,22194 hours, ,Fatalities: 0 / Occupants: 156,0,Substantial,Accident,"Houston-George Bush Intercontinental Airport, TX (IAH/KIAH) -   United States of America",Landing,Passenger - Scheduled,Mexico City-Benito Juárez International Airport (MEX/MMMX),"Houston, TX",NTSB,Accident investigation report completed and information captured
311482,Wednesday 22 March 2023,04:53 LT,"    
Boeing 777-28EER",B772,Asiana Airlines,HL8254,40198/1027,2012, , , ,Fatalities: 0 / Occupants:,0,None,Accident,near Seoul -   South Korea,En route,Passenger - Scheduled,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)",Seoul-Incheon International Airport (ICN/RKSI), ,Information verified through data from accident investigation authorities
311093,Friday 24 March 2023,c. 10:17,"    
McDonnell Douglas MD-88 (SF)",MD88,USA Jet Airlines Inc,N834US,53259/1849,1991, , , ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,Saltillo-Plan de Guadalupe International Airport (SLW/MMIO) -   Mexico,Landing,Cargo,"Detroit-Willow Run Airport, MI (YIP/KYIP)","Saltillo-Plan de Guadalupe International Airport (SLW/MMIO), Mexico", ,Information verified through data from accident investigation authorities
318690,Monday 27 March 2023,c. 12,"    
Cessna 550 Citation II",C550,Xceed Management Group LLC,N550DW,550-0487,1984,Pratt & Whitney Canada JT15D-4, , ,Fatalities: 0 / Occupants: 4,0,Substantial,Accident,"Oklahoma City-Wiley Post Airport, OK (PWA) -   United States of America",Landing,Executive,"Pella Municipal Airport, IA (KPEA)","Oklahoma City-Wiley Post Airport, OK (PWA/KPWA)",NTSB,Accident investigation report completed and information captured
318689,Thursday 30 March 2023,18:15,"    
Cessna 525B CitationJet CJ3",C25B,Minnesota Equipment Leasing Services Inc,N869AC,525B0001,2005,Williams International FJ44, , ,Fatalities: 0 / Occupants: 1,0,Substantial,Accident,"Gulf of Mexico, near Tampa, FL -   United States of America",En route,Executive,"Walnut Ridge Airport, AR (ARG/KARG)","Fort Myers-Page Field, FL (FMY/KFMY)",NTSB,Information verified through data from accident investigation authorities
318688,Saturday 1 April 2023,19:37,"    
Cessna 750 Citation X",C750,Discovery Jets,N85AV,750-0085,1999,Rolls-Royce AE3007C1,12272 hours, ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,"Belmar/Farmingdale-Monmouth Executive Airport, NJ (BLM) -   United States of America",Landing,Ferry/positioning,"Nashville International Airport, TN (BNA/KBNA)","Belmar/Farmingdale-Monmouth Executive Airport, NJ (BLM/KBLM)",NTSB,Accident investigation report completed and information captured
318687,Thursday 6 April 2023, ,"    
Cessna 550 Citation II",C550,FLYGTA Airlines Inc.,C-FHLG,550-0424,1982,Pratt & Whitney Canada JT15D-4,11409 hours, ,Fatalities: 0 / Occupants:,0,"Substantial, written off",Serious incident,"278 km N of Southern Pines, NC -   United States of America",En route,Unknown,"Southern Pines-Pinehurst Airport, NC (SOP/KSOP)","Kitchener-Region of Waterloo International Airport, ON (YKF/CYKF)", ,Information verified through data from accident investigation authorities
318685,Thursday 13 April 2023,c. 21,"    
Boeing 777-31HER",B77W,Emirates,A6-EGH,35585/969,2011,General Electric GE90-115B, , ,Fatalities: 0 / Occupants:,0,"Substantial, repaired",Accident,"Miami International Airport, FL (MIA/KMIA) -   United States of America",Standing,Passenger - Scheduled, , ,NTSB,"Information is only available from news, social media or unofficial sources"
318686,Thursday 13 April 2023,c. 21,"    
Airbus A330-243",A332,Air Transat,C-GUBL,728,2006,Rolls-Royce Trent 772B-60, , ,Fatalities: 0 / Occupants:,0,Substantial,Accident,"Miami International Airport, FL (MIA/KMIA) -   United States of America",Taxi,Passenger - Scheduled,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)","Miami International Airport, FL (MIA/KMIA)",NTSB,"Information is only available from news, social media or unofficial sources"
318684,Friday 14 April 2023,12:30,"    
British Aerospace 3112 Jetstream 31",JS31,Northwestern Air Lease,C-FCPE,825,1988, , , ,Fatalities: 0 / Occupants: 2,0,Substantial,Accident,"Fort Smith Airport, NT (YSM) -   Canada",Landing,Training,"Fort Smith Airport, NT (YSM/CYSM)","Fort Smith Airport, NT (YSM/CYSM)", ,Information verified through data from accident investigation authorities
318682,Saturday 15 April 2023,07:30,"    
Boeing 737-86Q (WL)",B738,SkyUp Airlines,UR-SQH,30292/1451,2004,CFMI CFM56-7B26, , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Passenger - Scheduled,Khartoum-Civil Airport (KRT/HSSS),Riyadh-King Khalid International Airport (RUH/OERK), , 
318683,Saturday 15 April 2023,07:30,"    
Airbus A330-343E",A333,Saudi Arabian Airlines,HZ-AQ30,1834,2017,Rolls-Royce Trent 772B-60, , ,Fatalities: 0 / Occupants:,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Passenger - Scheduled,Khartoum-Civil Airport (KRT/HSSS),Riyadh-King Khalid International Airport (RUH/OERK), , 
318677,Sunday 16 April 2023, ,"    
Antonov An-72-100D",AN72,Sudan Police Air Wing,ST-PRM,36572096914, , , , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Military,-,-, ,"Information is only available from news, social media or unofficial sources"
318678,Sunday 16 April 2023, ,"    
Ilyushin Il-76TD",IL76,Kush Aviation,ST-APS,1023409316,1992, , , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Military,-,-, ,"Information is only available from news, social media or unofficial sources"
318679,Sunday 16 April 2023, ,"    
Ilyushin Il-76TD",IL76,Kush Aviation,ST-EWD,0063466989,1986, , , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Military,-,-, ,"Information is only available from news, social media or unofficial sources"
318680,Sunday 16 April 2023, ,"    
Ilyushin Il-62M",IL62,Sudan Government,ST-PRA,2357711, , , , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Military,-,-, ,"Information is only available from news, social media or unofficial sources"
318681,Sunday 16 April 2023,c. 09,"    
Saab 340A",SF34,TAG Airlines,TG-TAI,340A-074,1986,General Electric CT7-5A2, , ,Fatalities: 0 / Occupants: 17,0,Substantial,Accident,Flores-Mundo Maya International Airport (FRS) -   Guatemala,Landing,Passenger - Scheduled,Cancún Airport (CUN/MMUN),Flores-Mundo Maya International Airport (FRS/MGTK),UIA Costa Rica,Information verified through data from accident investigation authorities
318669,Monday 17 April 2023, ,"    
Ilyushin Il-76TD",IL76,Belcanto Airlines,EW-576TH,1033418584, , , , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Military,-,-, ,"Information is only available from news, social media or unofficial sources"
318670,Monday 17 April 2023, ,"    
Antonov An-74-200",AN72,Sudan Government,ST-PRD,36547096924, , , , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,Khartoum International Airport (KRT) -   Sudan,Standing,Military,-,-, ,"Information is only available from news, social media or unofficial sources"
